"id","ticket_id","client_id","product","rating","comment","created_at","ai_suggested_category","final_category","is_admin_changed","sentiment","keywords_positive","keywords_neutral","keywords_negative","confidence"
"60ddbdd4-7993-4c81-9298-bdb592d01901","605ea9ad-4877-4ed0-85a9-877ee438d3ca","c3b63508-b6b4-41ea-8fd9-2f26ec13d70d","личный кабинет","3","Проблему закрыли формально, не вникая в детали","2026-05-11 13:17:51","качество ответа","качество ответа","","neutral","","формально","формально","0.8387"
"d45ea894-cdc0-4b25-9e2b-bf77d1bc7167","88e81da6-58a7-4579-a224-c8dd91101ee8","602b3bb0-fce1-43a4-991c-82e84d9377a4","аналитический модуль","5","Приятно удивлён качеством сервиса, буду рекомендовать","2026-04-07 12:09:06","общее впечатление","общее впечатление","","positive","приятно","","","0.7022"
"9410660d-33d0-49af-91d4-fcc5bcdf74cb","a7dd0931-3790-4da8-b60f-f77c940e128b","5cda275b-225e-460f-a1c9-fc87a679cae0","платёжный сервис","3","Вежливо, но без особого желания помочь","2026-03-26 11:26:22","вежливость","вежливость","","neutral","вежливо","","","0.7254"
"ddc04c85-5a75-4f09-bebf-b80d3e645b72","9d3163ea-1106-4cbd-b12e-9391a1fb4577","7bbfd398-415c-40e4-95f5-37aaf4561bf3","платёжный сервис","5","Выше всяких похвал, лучший сервис в своём классе","2025-09-14 04:27:15","общее впечатление","общее впечатление","1","positive","лучший","","","0.7711"
"5e9cf4df-8cdb-4c5b-b223-8e54827bf87b","16fdf34e-0084-4fe5-abc6-474cd8d56707","9f3945a9-b675-422c-8f4e-eb48580882dc","веб-сервис","5","Разобрались в сложной ситуации быстро и профессионально","2025-12-24 18:30:14","техническая компетентность","техническая компетентность","1","positive","быстро, профессионально","","","0.8591"
"2bf91c3e-2405-440e-8534-97908e6226e6","89eb9c24-35ed-4330-b5e6-836abc82b7ad","6ec56ce8-6292-41fe-af88-f54007199778","личный кабинет","5","Общение на высшем уровне, чувствуешь себя важным клиентом","2026-03-27 20:20:03","вежливость","вежливость","","positive","","","","0.6732"
"b219927e-d4cc-41c4-bd60-4fec58465ae3","ef88adc8-f54d-4250-a6ec-5fec54fa4db3","20dcd776-32fd-4ede-9fa2-afbc62cac02b","веб-сервис","5","Исчерпывающий ответ с первого раза, без лишних вопросов","2026-03-26 11:47:08","качество ответа","качество ответа","","positive","исчерпывающий","","","0.6734"
"e3f73818-4f3a-4534-913a-5231dbb80bbe","3f81fafd-2e67-4d84-8ae4-7839e8bacd95","d95bb5b8-1250-4dda-9e88-fbbace964948","аналитический модуль","4","Ответили быстро, не пришлось долго ждать","2025-06-20 21:44:35","скорость решения","скорость решения","","positive","быстро","","долго","0.9779"
"e5aa7359-2098-43f7-9b32-2ae8e8e24def","e6700a22-3b6f-4f1b-a4be-8cae9ad7629c","0ce3a7c3-e1db-4909-9811-1cc17958ec8d","платёжный сервис","4","Детально разобрали мою проблему, всё стало ясно","2026-05-06 10:22:11","качество ответа","качество ответа","","positive","детально","","","0.7494"
"2a26554f-68cc-440f-b68c-19211dfeae61","653e13ce-a97c-4eec-8716-b285dd375937","bdb151df-ee6f-4670-b4a5-57cf37475169","платёжный сервис","5","Общение на высшем уровне, чувствуешь себя важным клиентом","2025-10-31 04:06:19","вежливость","вежливость","","positive","","","","0.8893"
