id,client_id,responsible_id,product,status,priority,date,deadline,closed_at,reopened_count,last_reopened_at,ai_suggested_category,final_category,is_admin_changed,keywords,confidence,sla_ttfr_min,sla_ttr_min
ccbfdf1a-deaa-456b-b8c8-38d24a512664,5927cb85-60a6-442f-8579-baa0b2661cc5,0dccc85e-ff8c-4b89-a2e5-2d68a450e266,платёжный сервис,reopened,high,2025-08-13 21:10:17,2025-10-27 21:10:17,,1,2025-11-01 13:14:58,жалоба на сервис,вопрос по оплате,TRUE,"тариф, списание, счёт",0.983,30,480
84fd58d8-ce4c-4faa-897d-40f6f78cd699,a1c84659-92c0-4ee9-80fb-766304fd14d7,54e42d8a-6607-4c33-9b55-938329d3c056,API интеграция,open,high,2025-09-30 21:08:17,2026-03-10 21:08:17,,0,,запрос возврата,запрос возврата,FALSE,"возврат, вернуть, ошибочный платёж",0.7102,30,480
a62f284b-f586-43b0-a31a-e974cdf265aa,1ae1510f-b1c5-4f88-a6dc-f42ead480686,98a7ad04-976f-4a1f-9a4e-2cc4d7cc73a1,аналитический модуль,reopened,low,2026-02-19 21:08:17,2026-02-22 21:08:17,,3,2026-02-19 05:08:45,жалоба на сервис,жалоба на сервис,FALSE,"долго, грубость, жалоба",0.8604,480,4320
e8273333-012f-440b-82bf-e07f36f49c22,290d88d2-7b11-41cf-8a63-aee8db6b85cd,98a7ad04-976f-4a1f-9a4e-2cc4d7cc73a1,личный кабинет,in_progress,high,2026-04-13 21:03:17,2026-12-25 21:03:17,,0,,технический сбой,технический сбой,FALSE,"не работает, 500, недоступен",0.6413,30,480
605ea9ad-4877-4ed0-85a9-877ee438d3ca,73f9d39e-8f97-4c3b-a4db-7ae3cc0fd05f,30800edf-4d58-43e3-a96b-940fd74841ac,личный кабинет,closed,medium,2026-05-16 21:07:17,2026-08-28 21:07:17,2026-05-16 22:43:17,0,,технический сбой,технический сбой,FALSE,"сбой, ошибка, недоступен",0.7715,120,1440
88e81da6-58a7-4579-a224-c8dd91101ee8,48320f33-669a-4a3d-a52e-a0b9488d964b,30800edf-4d58-43e3-a96b-940fd74841ac,аналитический модуль,closed,medium,2025-12-11 21:13:17,2026-01-20 21:13:17,2025-12-11 21:54:17,0,,запрос возврата,запрос возврата,FALSE,"вернуть, ошибочный платёж, возврат",0.7298,120,1440
402b049d-f88a-4801-aee5-bb93ef68a12d,40c3a589-8005-4486-b69c-739947efbbc5,d966ef51-de55-4ca4-b2e9-ae366b64a2c8,платёжный сервис,reopened,medium,2025-07-31 21:11:17,2025-12-02 21:11:17,,2,2025-12-08 10:38:19,проблема с доступом,проблема с доступом,FALSE,"заблокирован, не войти, аккаунт",0.6259,120,1440
c6513c42-3749-4586-88b7-568b8f1f5e3e,eb25b1d4-1ad4-488a-b486-14e495c52b75,8eb3b219-9fb7-44ac-a893-dbc4dab3ebf8,веб-сервис,in_progress,medium,2026-02-16 21:11:17,2026-02-24 21:11:17,,0,,ошибка в данных,ошибка в данных,FALSE,"дублирование, некорректно, неверные данные",0.8274,120,1440
4aa096c6-4609-4d81-a43c-92c63bac135e,60009bb3-f2b3-47a9-ab97-96b4ead0b98c,a0ed29c7-dc83-4181-ae21-9a76efbfa3a2,мобильное приложение,open,low,2025-11-13 21:07:17,2025-12-31 21:07:17,,0,,запрос возврата,проблема с доступом,TRUE,"аккаунт, не войти, пароль",0.9198,480,4320
9133b690-1998-410c-97f8-9f020213de55,4f89d04f-8742-472a-b9c6-51408188fcad,518baab4-bdcf-45bc-9ec6-37549da23359,аналитический модуль,in_progress,medium,2025-12-01 21:03:17,2026-05-08 21:03:17,,0,,консультация,консультация,FALSE,"настроить, возможности, как",0.9686,120,1440
fba384fc-6fe9-4c64-aceb-c29f0ac2e3e8,8bb56717-29f5-4f4b-b0b4-1ab6b3c36025,d966ef51-de55-4ca4-b2e9-ae366b64a2c8,веб-сервис,in_progress,medium,2026-02-10 21:09:17,2026-05-20 21:09:17,,0,,проблема с доступом,проблема с доступом,FALSE,"не войти, заблокирован, аккаунт",0.8234,120,1440
a7dd0931-3790-4da8-b60f-f77c940e128b,ee47740e-5038-49ed-8c64-d836d8b9d4c5,0b028ed6-0f00-457b-add5-3edd07308c53,платёжный сервис,closed,high,2026-01-26 21:09:17,2026-05-01 21:09:17,2026-01-27 00:09:17,0,,вопрос по оплате,вопрос по оплате,FALSE,"оплата, счёт, списание",0.6626,30,480
6c947ef1-bbd0-4b30-8338-331722d7d677,a39cb080-03fd-4d7c-b4f0-ed02bcf96a0c,ca155167-00f3-45f4-9fa5-fa1c385ebf77,личный кабинет,reopened,low,2025-09-13 21:08:17,2025-09-20 21:08:17,,2,2025-09-12 15:51:36,технический сбой,технический сбой,FALSE,"не работает, сбой, 500",0.7585,480,4320
d687f508-4dca-4fe0-b3b7-7a44592e6229,45cc7a64-87b8-46ce-93e3-11d2b6aeafbf,ca155167-00f3-45f4-9fa5-fa1c385ebf77,API интеграция,in_progress,high,2025-12-10 21:07:17,2025-12-19 21:07:17,,0,,ошибка в данных,ошибка в данных,FALSE,"расхождение, дублирование, некорректно",0.6807,30,480
4df8a32e-ca12-416f-a8d1-6cbf86b1de17,4269ebec-6d9f-4b0d-8a26-459793e3dbe1,658cb972-0bd8-4e76-9814-f7b6c8d826bd,веб-сервис,open,high,2026-02-18 21:07:17,2026-03-20 21:07:17,,0,,жалоба на сервис,жалоба на сервис,FALSE,"не решили, некомпетентность, долго",0.8357,30,480
b4ddf822-bbad-4191-b097-a2d959d0a2a5,4a33bd36-2b6c-4f8a-851c-7fc1cf08bf30,0b028ed6-0f00-457b-add5-3edd07308c53,платёжный сервис,in_progress,low,2025-09-19 21:02:17,2025-10-12 21:02:17,,0,,вопрос по оплате,вопрос по оплате,FALSE,"тариф, оплата, счёт",0.7698,480,4320
cc2c7b38-0525-4d54-9fac-45751a8cfcf2,5b646d51-1847-4462-ac2d-69caea71ab2f,658cb972-0bd8-4e76-9814-f7b6c8d826bd,личный кабинет,in_progress,high,2025-08-10 21:09:17,2026-02-08 21:09:17,,0,,вопрос по оплате,вопрос по оплате,FALSE,"подскажите, настроить, как",0.9258,30,480
e1d35210-9fd2-4dc7-8025-6e8e0203276c,7e9f3b1a-d4a5-4603-9c3b-4a88533c7a94,96032794-c8cb-47f0-9d42-dc35caefb6d4,мобильное приложение,in_progress,low,2025-07-23 21:09:17,2025-09-21 21:09:17,,0,,жалоба на сервис,жалоба на сервис,FALSE,"грубость, долго, жалоба",0.7577,480,4320
bf4d2dcf-a646-4871-b6ad-045d0803c0e8,3becfb23-3377-4dca-b407-9e552ad77cd1,03dce095-23a2-437e-90ad-5715ecb15aaa,личный кабинет,reopened,medium,2025-09-14 21:01:17,2025-09-21 21:01:17,,1,2025-09-15 04:30:43,вопрос по оплате,вопрос по оплате,FALSE,"счёт, платёж, списание",0.9714,120,1440
dfabdc4e-5b54-49e8-84c8-f0de4fb34edd,05c3aeac-f725-49a5-a606-3793648d6a50,658cb972-0bd8-4e76-9814-f7b6c8d826bd,личный кабинет,reopened,high,2025-09-22 21:02:17,2025-12-02 21:02:17,,1,2025-12-13 00:35:34,ошибка в данных,ошибка в данных,FALSE,"неверные данные, дублирование, некорректно",0.75,30,480
